trial,winner,amount,bidder0_value,bidder0_bid,bidder1_value,bidder1_bid,bidder2_value,bidder2_bid,bidder3_value,bidder3_bid,bidder4_value,bidder4_bid
56,Bidder1,78.55,1.08,78.55,71.43,75.25,75.61,1.08,78.55,71.43,75.25,75.61
57,Bidder1,66.04,3.89,66.04,0.65,60.23,35.93,3.89,66.04,0.65,60.23,35.93
58,Bidder1,95.66,93.68,95.66,38.48,46.02,11.19,93.68,95.66,38.48,46.02,11.19
59,Bidder4,95.84,89.75,92.33,59.28,60.11,95.84,89.75,92.33,59.28,60.11,95.84
60,Bidder0,95.88,95.88,20.91,84.33,92.38,66.11,95.88,20.91,84.33,92.38,66.11
61,Bidder2,78.75,46.08,31.52,78.75,54.28,17.36,46.08,31.52,78.75,54.28,17.36
62,Bidder3,91.19,30.87,50.83,58.13,91.19,29.59,30.87,50.83,58.13,91.19,29.59
63,Bidder3,97.85,2.98,81.81,35.37,97.85,69.51,2.98,81.81,35.37,97.85,69.51
64,Bidder0,94.63,94.63,92.13,62.58,45.03,5.73,94.63,92.13,62.58,45.03,5.73
65,Bidder4,89.80,39.68,48.18,5.99,53.18,89.80,39.68,48.18,5.99,53.18,89.80
66,Bidder4,96.63,5.65,68.06,67.65,10.48,96.63,5.65,68.06,67.65,10.48,96.63
67,Bidder2,94.19,12.34,4.72,94.19,72.05,84.53,12.34,4.72,94.19,72.05,84.53
68,Bidder2,90.46,38.75,58.12,90.46,3.18,7.29,38.75,58.12,90.46,3.18,7.29
69,Bidder2,98.86,10.87,86.16,98.86,72.80,2.48,10.87,86.16,98.86,72.80,2.48
70,Bidder4,93.50,33.22,82.20,67.88,54.24,93.50,33.22,82.20,67.88,54.24,93.50
71,Bidder4,80.82,23.44,20.33,66.06,41.25,80.82,23.44,20.33,66.06,41.25,80.82
72,Bidder4,71.68,57.24,70.02,33.58,55.26,71.68,57.24,70.02,33.58,55.26,71.68
73,Bidder4,93.06,56.68,18.91,15.28,91.60,93.06,56.68,18.91,15.28,91.60,93.06
74,Bidder3,65.81,43.69,43.13,57.03,65.81,50.39,43.69,43.13,57.03,65.81,50.39
75,Bidder1,99.29,25.92,99.29,1.60,92.52,67.88,25.92,99.29,1.60,92.52,67.88
76,Bidder4,43.13,5.56,25.13,28.12,38.04,43.13,5.56,25.13,28.12,38.04,43.13
77,Bidder3,93.61,87.89,81.55,78.50,93.61,44.42,87.89,81.55,78.50,93.61,44.42
78,Bidder0,86.84,86.84,35.17,52.46,26.71,25.43,86.84,35.17,52.46,26.71,25.43
79,Bidder1,92.30,84.20,92.30,62.30,8.61,53.47,84.20,92.30,62.30,8.61,53.47
80,Bidder2,86.74,6.25,21.33,86.74,33.61,38.05,6.25,21.33,86.74,33.61,38.05
81,Bidder2,94.94,54.53,55.13,94.94,74.18,13.89,54.53,55.13,94.94,74.18,13.89
82,Bidder1,70.25,41.00,70.25,53.69,13.71,17.07,41.00,70.25,53.69,13.71,17.07
83,Bidder2,94.44,84.00,54.24,94.44,42.33,10.22,84.00,54.24,94.44,42.33,10.22
84,Bidder0,93.58,93.58,61.95,61.59,10.32,43.64,93.58,61.95,61.59,10.32,43.64
85,Bidder0,66.24,66.24,26.01,38.87,25.30,56.23,66.24,26.01,38.87,25.30,56.23
86,Bidder0,88.34,88.34,37.46,51.51,45.92,28.48,88.34,37.46,51.51,45.92,28.48
87,Bidder0,98.96,98.96,24.31,82.76,60.86,67.94,98.96,24.31,82.76,60.86,67.94
88,Bidder0,98.53,98.53,34.87,32.42,20.73,73.84,98.53,34.87,32.42,20.73,73.84
89,Bidder3,89.31,83.61,56.90,3.27,89.31,24.27,83.61,56.90,3.27,89.31,24.27
90,Bidder0,75.03,75.03,19.85,35.08,60.95,44.99,75.03,19.85,35.08,60.95,44.99
91,Bidder0,90.39,90.39,33.58,88.87,45.55,31.06,90.39,33.58,88.87,45.55,31.06
92,Bidder1,65.04,2.10,65.04,9.54,37.34,41.91,2.10,65.04,9.54,37.34,41.91
93,Bidder2,71.07,67.15,56.36,71.07,29.64,0.20,67.15,56.36,71.07,29.64,0.20
94,Bidder4,78.66,24.35,75.68,41.24,40.47,78.66,24.35,75.68,41.24,40.47,78.66
95,Bidder2,84.79,12.90,28.90,84.79,22.57,57.25,12.90,28.90,84.79,22.57,57.25
96,Bidder1,84.11,0.14,84.11,8.27,50.94,2.28,0.14,84.11,8.27,50.94,2.28
97,Bidder4,88.53,46.27,87.48,28.39,47.63,88.53,46.27,87.48,28.39,47.63,88.53
98,Bidder3,81.67,18.54,10.91,70.71,81.67,40.14,18.54,10.91,70.71,81.67,40.14
99,Bidder0,60.14,60.14,15.09,29.55,5.98,34.06,60.14,15.09,29.55,5.98,34.06
